yya_X,yya_Y,c_X,c_Y,p_X,p_Y
0.09203731996617703,1.4524636192513984,31.296480106706543,344.224759568605,47.38879609717515,320.08340465997316
4.452958509942487,6.590940156644181,35.444556739703266,82.77415135788894,55.943257061692286,101.46489013900806
21.544346900318118,12.317606212025813,42.71993966306654,19.33373624123378,68.83952069645314,29.476348611926397
58.313051135260515,18.508380576558764,60.78323128297062,4.1991162185933435,95.93608287092891,10.806478917396907
110.92898648951956,25.486828081478617,93.96648314954442,1.3310995184305494,145.26539259467486,5.455594781168565
194.2174681488981,37.198576071241725,139.36192742241093,0.7771884105892647,265.10836019084877,2.961958350232768
300.2461709085494,55.0874452113015,229.27693128656017,0.6527349123499638,525.6791122018323,1.859831864515376
401.42424904992356,78.09650146143001,393.18287557056817,0.7440102990646251,1109.2898648952068,1.2377461352125223
620.5728806776374,135.7161649620996,633.5804992658125,1.0395421548642079,2110.2034285685663,0.8730771690546804
999.9999999999816,242.80809291404756,901.4776314524752,1.4108267457460804,4546.295469532362,0.5981940724543944
1422.8304572143345,336.7971602664386,1611.4142772529935,2.636650898730388,10642.092440647204,0.4039390032376298
,,3065.3952950564926,6.128700817142541,,
,,6468.607661546281,16.716982766094866,,
,,11208.552995253696,35.61057181302888,,
