lab_X,lab_Y,helio_X,helio_Y,HB_X,HB_Y,BBN_X,BBN_Y
1.3073430085458518e-12,3.814982387592535e-8,2.115512895314533e-12,6.918309709189391e-11,3.423275132071137e-12,6.405708389824847e-11,560.0393299337971,0.00015568214473597177
0.000530231540850121,3.670930137502726e-8,0.01835092487237677,6.405708389824847e-11,728.1699944725322,6.657077027311713e-11,560.0393299337971,2.834897189892703e-12
2.360052234414724,0.00016814023179468433,760.7380769664314,0.000003867788221923831,1532.0507760101805,6.657077027311713e-11,611.2562009664225,4.643716217157062e-13
2.0249453260320006e-12,0.0001617913220855795,728.1699944725322,0.00021182155370651185,3223.395083690137,6.657077027311713e-11,696.9961894960074,8.215365042113136e-14
,,1.6998233881521671e-12,0.0001617913220855795,7085.2682034400195,6.657077027311713e-11,1033.36032098852,1.5104434757204854e-14
,,,,13658.15144548921,7.18979351386487e-11,1906.7117181211818,3.2392745670535815e-15
,,,,22101.311836462657,8.71562442838071e-11,5449.316625481244,5.955597968918645e-16
,,,,27506.157709849525,1.016632944451899e-10,13073.430085458518,1.0949719276081634e-16
,,,,34232.751320711366,1.2807450515827989e-10,37363.41432199034,2.3482604769747323e-17
,,,,40780.38357822903,1.6134711117768975e-10,121761.69604099196,4.1543918986773935e-18
,,,,48580.36881719543,2.1952932260586136e-10,347990.7467274539,9.259065666453768e-19
,,,,55394.66412996866,3.1041328405877534e-10,872203.0021539856,2.8077485326724993e-19
,,,,65989.89459665622,4.926486686014818e-10,4055795130.918943,2.144585096445576e-19
,,,,75246.19792223384,7.818696013952095e-10,2857965666.068747,1.2323846169260256e-10
,,,,85800.86900212953,1.2895784325356052e-9,1548901331.0166645,0.00016814023179468452
,,,,97836.02792966184,2.4810005792660068e-9,,
,,,,111559.34050989717,5.155120318123756e-9,,
,,,,132897.08019978492,1.514601935470831e-8,,
,,,,151538.35388163678,4.994677627242497e-8,,
,,,,172794.41100312103,1.3587336412785397e-7,,
,,,,197032.02330702767,4.6565010100284824e-7,,
,,,,234717.95802734155,0.0000043412214510362945,,
,,,,267641.4931949747,0.000027542287033381802,,
,,,,292117.9167375285,0.00016814023179468452,,
,,,,4.078038357822903e-12,0.00016814023179468398,,
